행정구역코드,행정구역명,상세지역유무
su,서울,1
ic,인천,1
dj,대전,1
dg,대구,1
us,울산,1
bs,부산,1
gj,광주,1
sj,세종,1
jj,제주,1
gg,경기도,2
gw,강원도,2
cb,충청북도,2
cn,충청남도,2
gb,경상북도,2
gn,경상남도,2
jb,전라북도,2
jn,전라남도,2
