마커번호,장소이름,위도,경도,장소종류,하위행정구역코드,
,상소동 산림욕장,36.2313640959,127.4710996743,2,dj,dj
,김정선생묘소일원,36.3576223794,127.4986187867,2,dj,dj
,유성온천지구,36.3553449050,127.3448131576,2,dj,dj
,대청호,36.4011148323,127.5101665667,2,dj,dj
,보문산 행복 숲 둘레길,36.3092682155,127.4222435934,2,dj,dj
,대전오월드,36.2873119994,127.4001294978,2,dj,dj
,장태산자연휴양림,36.2159580005,127.3412755693,2,dj,dj
,법동 석장승,36.3675283610,127.4302079665,2,dj,dj
,이시직공정려각,36.3619180566,127.4394906219,2,dj,dj
,송애당,36.3645981884,127.4328800291,2,dj,dj
,세천공원,36.3295197767,127.4840375217,2,dj,dj
,사우당,36.2802024777,127.4438813368,2,dj,dj
,갑천,36.3674994928,127.3686912472,2,dj,dj
,유회당사당,36.2788325595,127.4083789899,2,dj,dj
,안동권씨유회당종가일원,36.2776965146,127.4047932299,2,dj,dj
,봉소루,36.3090796806,127.4409585926,2,dj,dj
,단재 신채호선생생가지,36.2326156607,127.4108161325,2,dj,dj
,장판각,36.3471422896,127.4575199675,2,dj,dj
,회덕향교,36.3842012982,127.4215110682,2,dj,dj
,유성 관광특구,36.3776292298,127.3878559242,2,dj,dj
,스카이로드,36.3286188884,127.4282980832,2,dj,dj
,대전 회덕 동춘당,36.3653510299,127.4413181434,2,dj,dj
,둔산선사유적지,36.3605282406,127.3783794582,2,dj,dj
,대동하늘공원,36.3317689426,127.4515986926,2,dj,dj
,대청호 벚꽃길,36.3532034951,127.5017047426,2,dj,dj
,티놀자 애니멀 파크,36.4159051789,127.3751532424,2,dj,dj
,국립대전숲체원,36.3243724999,127.2912076798,2,dj,dj
,대전트래블라운지,36.3305103683,127.4300006577,2,dj,dj
,대청호자연수변공원,36.3728702056,127.4745205247,2,dj,dj
,흑석유원지,36.2620860417,127.3400883221,2,dj,dj
,보라매공원,36.3533930477,127.3841235826,2,dj,dj
,유성온천공원,36.3552810320,127.3453047821,2,dj,dj
,세천유원지,36.3283893351,127.4831459655,2,dj,dj
,방동저수지,36.2796388306,127.2970555846,2,dj,dj
,슬픈연가촬영지,36.3795000621,127.4778672678,2,dj,dj
,대전 신흥사,36.3341528947,127.3453470164,2,dj,dj
,은구비역사공원,36.3750839329,127.3233784299,2,dj,dj
,한빛탑,36.3772070293,127.3863644022,2,dj,dj
,괴곡동 느티나무,36.2863418541,127.3543169514,2,dj,dj
,노고산,36.4241507101,127.4891622601,2,dj,dj
,동화울수변공원,36.4244434267,127.3941152016,2,dj,dj
,금강로하스산호빛공원,36.4541238369,127.4208120024,2,dj,dj
,을미기공원,36.4427777451,127.4113409377,2,dj,dj
,대덕구 반려동물놀이터,36.4256492815,127.4186824144,2,dj,dj
,내원사(대전),36.3226600246,127.3600265707,2,dj,dj
,솔로몬로파크,36.3783182530,127.3998576096,2,dj,dj
,무수천하마을,36.2802656140,127.4018934196,2,dj,dj
,용운산성,36.3220897084,127.4636839864,3,dj,dj
,태화장,36.3338349770,127.4293534026,3,dj,dj
,온천손칼국수,36.3565143050,127.3498515639,3,dj,dj
,라빈고양이카페,36.3350387492,127.3365977755,3,dj,dj
,더리스레스토랑,36.3861910758,127.4841692992,3,dj,dj
,샤를몽탁,36.3614053327,127.5015823075,3,dj,dj
,대전 커피가,36.4094007221,127.3951071889,3,dj,dj
,연선흠베이커리카페(연선흠베이커리),36.3785971012,127.3053716133,3,dj,dj
,산밑할머니,36.4160774884,127.3811915865,3,dj,dj
,비래키키,36.3679536500,127.4492007007,3,dj,dj
,가데나 레스토랑,36.3898123840,127.2997523680,3,dj,dj
,렌토,36.4171940344,127.3815887427,3,dj,dj
,리케리케,36.3587056628,127.3465684650,3,dj,dj
,아케이드커피,36.3579140463,127.3442936903,3,dj,dj
,탑립커피,36.4084815198,127.4027981924,3,dj,dj
,칼짬뽕,36.3116202486,127.3954514795,3,dj,dj
,마일드 브루어스,36.3372440971,127.3391141573,3,dj,dj
,병천이가순대,36.4229130254,127.3929264611,3,dj,dj
,무양도원,36.3575140880,127.3440742761,3,dj,dj
,슬로우브레드 관평점,36.4241628204,127.3894267402,3,dj,dj
,쎄시마몽드,36.3563196363,127.3359555900,3,dj,dj
,이태리식당빛나 도안점,36.3410965156,127.3437275294,3,dj,dj
,유림한우,36.3588362573,127.3496181885,3,dj,dj
,유람,36.3495954730,127.3397526546,3,dj,dj
,고치소사마 대전본점,36.3573531269,127.3514958385,3,dj,dj
,곰에스프레소본점,36.3437572805,127.3413665575,3,dj,dj
,그레이스538,36.3378301438,127.3392641278,3,dj,dj
,그린베이커리,36.4265403217,127.3891989182,3,dj,dj
,라꼬레,36.3638355360,127.3412021396,3,dj,dj
,라븐,36.4257431887,127.3890989487,3,dj,dj
,르뺑99-1,36.3579557615,127.3473073080,3,dj,dj
,리코타코,36.3621858901,127.3505041294,3,dj,dj
,자동차 카페 카레이지 히피스,36.3601693955,127.3472294776,3,dj,dj
,일인칭,36.3365802841,127.3391141753,3,dj,dj
,아리랑옛날순대,36.3537533186,127.3390720477,3,dj,dj
,대감댁 왕뼈 해장국 유성점,36.3600248867,127.3426410030,3,dj,dj
,어선재,36.3545866496,127.3443243324,3,dj,dj
,데이트0411카페,36.3641355062,127.3414298888,3,dj,dj
,보물섬수산,36.3566056613,127.3329308531,3,dj,dj
,향기울차반,36.3607464074,127.3077163305,3,dj,dj
,대나무통밥맛정식,36.3659859786,127.3799986103,3,dj,dj
,카페민트,36.3575140880,127.3440742761,3,dj,dj
,펠리쓰,36.4170467880,127.3792639553,3,dj,dj
,진신,36.3389551026,127.3442025446,3,dj,dj
,전복에굴에,36.4237684458,127.3908321806,3,dj,dj
,화도갈비 대전유성점,36.3578918211,127.3439826069,3,dj,dj
,황태고을,36.3581863900,127.3529151335,3,dj,dj
,통일면옥,36.3597957762,127.4225616381,3,dj,dj
,쿠쿠펫,36.3424269014,127.3427192500,3,dj,dj
,대청마루 옥순네 추어칼국수,36.3538440138,127.4413851165,3,dj,dj
,"동춘당 문화제 <늘, 봄>",36.3660453935,127.4412347978,1,dj,dj
,유성온천문화축제,36.3548811225,127.3478212338,1,dj,dj
,유성정월대보름제,36.3598637629,127.3408856090,1,dj,dj
,대전사이언스페스티벌,36.3751823135,127.3893058608,1,dj,dj
,대전 국제 와인 EXPO,36.3750212633,127.3916945410,1,dj,dj
,우암문화제,36.3497420088,127.4584420365,1,dj,dj
,세계인 어울림 한마당,36.3209750271,127.4119386413,1,dj,dj
,제12회 로봇융합페스티벌,36.3750212633,127.3916945410,1,dj,dj
,청정임산물 대축제,36.3659250159,127.3879840082,1,dj,dj
,대전 서구힐링 아트페스티벌,36.3550623065,127.3844262880,1,dj,dj
,유성국화마라톤 대회,36.3608056480,127.3592922701,1,dj,dj
,유성국화전시회,36.3607306283,127.3577063021,1,dj,dj
,대전맨몸마라톤,36.3759931713,127.3802705364,1,dj,dj
,우암 야행,36.3482560780,127.4589975829,1,dj,dj
,대한민국 목재산업 박람회(WOOD FAIR 2022),36.3750212633,127.3916945410,1,dj,dj
,대전청년주간,36.3759931713,127.3802705364,1,dj,dj
,대청호대덕뮤직페스티벌,36.4693536128,127.4748428601,1,dj,dj
,제6회 SAFE 대전안전체험한마당,36.3659250159,127.3879840082,1,dj,dj
,대전 반려동물 문화축제,36.4597780979,127.3844789906,1,dj,dj
,5월 레이싱 이스포츠 패밀리 대전,36.3759931713,127.3802705364,1,dj,dj
,何時何地 하시하지,36.3270133926,127.4213431926,1,dj,dj
,달밤소풍,36.3784457403,127.3843173298,1,dj,dj
,2022 대전 세계지방정부연합(UCLG) 총회,36.3750212633,127.3916945410,1,dj,dj
,피코알로하페스티벌,36.3267747554,127.4339754034,1,dj,dj
,대전 동구 문화재 야행,36.3350238727,127.4374054282,1,dj,dj
,유성 재즈&맥주페스타,36.3607306283,127.3577063021,1,dj,dj
,대전 피파 토너먼트,36.3759931713,127.3802705364,1,dj,dj
,한빛야시장:가을 감성 주(酒)간,36.3759931713,127.3802705364,1,dj,dj
,대전 지역 명소 야외 무료 공연 ‘청아청아 내딸청아’,36.3666609675,127.3837760314,1,dj,dj
,한우대전: 한우 숯불구이 축제,36.3213472064,127.4119164115,1,dj,dj
,테미올래축제,36.3207891354,127.4230876502,1,dj,dj
,유성온천 크리스마스 축제,36.3552810320,127.3453047821,1,dj,dj
,대한민국과학축제,36.3678470183,127.3880172866,1,dj,dj
,대덕물빛축제,36.4733475828,127.4739178330,1,dj,dj
,"테미봄축제 ""테미와 봄""",36.3207891354,127.4230876502,1,dj,dj
,복수동 오복마을 축제,36.2991547662,127.3818835857,1,dj,dj
,Re:023 대전 엑스포93,36.3759931713,127.3802705364,1,dj,dj
,한우&농특산물 페스티벌,36.3759931713,127.3802705364,1,dj,dj
,2023 온라인 수학&기초과학체험전,36.3760014821,127.3790706436,1,dj,dj
,대전 0시 축제,36.3284549844,127.4263982574,1,dj,dj
,도시캠핑대전,36.3751488554,127.3820815082,1,dj,dj
,대전효문화뿌리축제,36.2853841653,127.3845115010,1,dj,dj
,송정해수욕장,35.1787117732,129.1996400523,2,bs,bs
,해운대해수욕장,35.1591243474,129.1603078991,2,bs,bs
,부산 송도해수욕장,35.0739256715,129.0164588470,2,bs,bs
,보광사(부산),35.1408826262,129.0468821528,2,bs,bs
,범어사(부산),35.2839975351,129.0681263762,2,bs,bs
,재한유엔기념공원 (UN기념공원),35.1277710987,129.0953116327,2,bs,bs
,해운대 달맞이길,35.1577193620,129.1825698917,2,bs,bs
,해운대 관광특구,35.1584383046,129.1598690678,2,bs,bs
,수영사적공원,35.1706944259,129.1145032317,2,bs,bs
,대천천,35.2437901894,129.0278976536,2,bs,bs
,광안리해변 테마거리,35.1551657503,129.1221363273,2,bs,bs
,을숙도 공원,35.0937941809,128.9353792487,2,bs,bs
,선암사(부산),35.1768587956,129.0275328529,2,bs,bs
,스포원파크,35.2891615670,129.1070700628,2,bs,bs
,홍법사(부산),35.3027517754,129.1106443769,2,bs,bs
,좌수영성지,35.1743106361,129.1117117085,2,bs,bs
,삼락생태공원,35.1691447700,128.9732044604,2,bs,bs
,금강사(부산),35.2250098725,129.0771855435,2,bs,bs
,남도해양관광열차 S-트레인(S-train),35.1152715223,129.0424332391,2,bs,bs
,김민부전망대,35.1177100066,129.0352504641,2,bs,bs
,남선창고터,35.1167962983,129.0395112298,2,bs,bs
,유치환 우체통 전망대,35.1221122650,129.0338310231,2,bs,bs
,아이리,35.2542589030,129.0518675000,2,bs,bs
,아홉산숲,35.2871407693,129.1715589466,2,bs,bs
,부산 영화의 전당,35.1707946470,129.1270576924,2,bs,bs
,맥도생태공원,35.1523490931,128.9549259546,2,bs,bs
,부산 송도해상케이블카,35.0766810472,129.0234248332,2,bs,bs
,초량 이바구길,35.1165712633,129.0362642960,2,bs,bs
,장림포구,35.0793627568,128.9513754709,2,bs,bs
,국립 달음산자연휴양림,35.3027559437,129.1854434167,2,bs,bs
,몰운대 (부산 국가지질공원),35.0402813591,128.9699332506,2,bs,bs
,안데르센 동화마을,35.3601199691,129.2399148578,2,bs,bs
,회동수원지,35.2252550204,129.1166487680,2,bs,bs
,죽성성당(드림세트장),35.2412223365,129.2478869088,2,bs,bs
,해운대 블루라인파크,35.1612607960,129.1913940274,2,bs,bs
,죽성항(황학대),35.2426471573,129.2468480710,2,bs,bs
,영주하늘눈전망대,35.1146102693,129.0307259427,2,bs,bs
,캐비네 드 쁘아쏭(미디어 갤러리),35.2002043557,129.2289258030,2,bs,bs
,청학 수변공원,35.0977293865,129.0611626448,2,bs,bs
,천성항 방파제등대,35.0282187628,128.8148915080,2,bs,bs
,해운대수목원,35.2304408466,129.1326250124,2,bs,bs
,미포항,35.1584551702,129.1706820162,2,bs,bs
,국제크루즈터미널,35.0808010570,129.0791837627,2,bs,bs
,감지해변,35.0625336062,129.0764900502,2,bs,bs
,사상근린공원,35.1521995132,128.9768740479,2,bs,bs
,정란각/문화공감수정,35.1255870389,129.0426662706,2,bs,bs
,화전공원,35.1056557115,128.8791615988,2,bs,bs
,미륵사(부산),35.2740066340,129.0489255467,2,bs,bs
,소름요,35.2433747592,129.2417734921,2,bs,bs
,신세계 센텀시티,35.1687865886,129.1297408475,2,bs,bs
,초원농원,35.1922756903,128.9829474247,3,bs,bs
,원산면옥,35.0989870243,129.0310680055,3,bs,bs
,우정갈비,35.2547844491,129.0845590824,3,bs,bs
,참나무숯불구이,35.2270653546,129.0856708591,3,bs,bs
,해운대암소갈비집,35.1632545515,129.1663100420,3,bs,bs
,감나무집,35.2442128801,129.0557979895,3,bs,bs
,문화쌈밥,35.1287570602,129.0931951234,3,bs,bs
,금오횟집,35.1611885212,129.1881304242,3,bs,bs
,오페라,35.1589857552,129.1754760289,3,bs,bs
,큰집식당,35.1002507497,129.0298236350,3,bs,bs
,동래별장,35.2208492664,129.0792715868,3,bs,bs
,돌고래순두부,35.1015367131,129.0296625023,3,bs,bs
,해동횟집,35.2250432656,129.2302916643,3,bs,bs
,아델라7,35.1734230535,129.1768644000,3,bs,bs
,비비비당,35.1624966512,129.1850750980,3,bs,bs
,감내맛집,35.0989644052,129.0093365624,3,bs,bs
,카파도키아,35.2601173263,129.0922249352,3,bs,bs
,[백년가게]쉐라미,35.0997973090,128.9910492415,3,bs,bs
,[백년가게]옥미아구찜,35.1737300923,129.1088369750,3,bs,bs
,갈비곳간,35.1599862176,129.0563669161,3,bs,bs
,[백년가게]개미집(본점),35.1005618293,129.0300180532,3,bs,bs
,[백년가게]창녕집,35.2445794969,129.0553257981,3,bs,bs
,[백년가게] 낙원반점 (구 낙원각),35.1507778548,128.9988416187,3,bs,bs
,카페녹녹,35.2896293775,129.1714699967,3,bs,bs
,클래식캠퍼,35.1473807641,128.9853067784,3,bs,bs
,하기연진주냉면,35.1028270967,128.9677178559,3,bs,bs
,양산왕돼지국밥,35.1849902672,129.1263740289,3,bs,bs
,미도식당,35.2963580589,129.2604481768,3,bs,bs
,신가야밀면,35.1526114804,129.0258197766,3,bs,bs
,칠성식당 본점,35.1358252547,129.0683387579,3,bs,bs
,초량불백,35.1205486419,129.0387611924,3,bs,bs
,진목카페,35.1059288591,128.9313209391,3,bs,bs
,소공간,35.1617297426,129.1674016555,3,bs,bs
,카페제노아,35.1004034583,129.0270044311,3,bs,bs
,불란서그로서리,35.1583126706,129.1248526716,3,bs,bs
,토비코,35.2288679330,129.0857930213,3,bs,bs
,성일집,35.0994287600,129.0375007674,3,bs,bs
,아미산,35.1581353515,129.1485450604,3,bs,bs
,대관원,35.2067618990,129.0761833540,3,bs,bs
,목장원,35.0716572340,129.0573775733,3,bs,bs
,사미헌,35.1589974450,129.0566863597,3,bs,bs
,고향집칼국수,35.1212302164,129.0981282334,3,bs,bs
,김유순대구뽈찜,35.1364061736,129.0915367246,3,bs,bs
,고스락,35.3223497637,129.2697855304,3,bs,bs
,오사카,35.1004109631,128.9820222326,3,bs,bs
,외식1번가,35.1663954099,129.1416454336,3,bs,bs
,장성향,35.1135771812,129.0377225842,3,bs,bs
,중앙모밀,35.1018812231,129.0352897814,3,bs,bs
,신센,35.1468804084,129.1135956300,3,bs,bs
,일품한우,35.1602575377,129.1594329447,3,bs,bs
,부산항축제,35.1177852539,129.0491742511,1,bs,bs
,부산국제매직페스티벌,35.1423165015,129.0849510244,1,bs,bs
,영도다리축제,35.0772292873,129.0820363898,1,bs,bs
,부산 남구 정월대보름 달맞이축제,35.1322571676,129.1201732372,1,bs,bs
,부산 금정산성축제,35.2453211119,129.0570561824,1,bs,bs
,부산고등어축제,35.0757393568,129.0164282448,1,bs,bs
,부산국제록페스티벌,35.1728970354,128.9682186811,1,bs,bs
,부산콘텐츠유니버시아드,35.1728721628,129.1254661073,1,bs,bs
,제39회 부산국제단편영화제,35.1713084771,129.1269826847,1,bs,bs
,부산바다축제,35.1889969320,129.0604518774,1,bs,bs
,제19회 부산국제무용제,35.1600853652,129.1610911378,1,bs,bs
,부산연등축제,35.1651997173,129.0669047455,1,bs,bs
,부산 동구 차이나타운 특구 문화축제,35.1145576333,129.0380836370,1,bs,bs
,부산 MICE Festival,35.1691116738,129.1363347095,1,bs,bs
,부산국제코미디페스티벌,35.1710029572,129.1270687971,1,bs,bs
,해운대 빛축제,35.1595632252,129.1623632643,1,bs,bs
,동래읍성 역사축제,35.2121421097,129.0901347694,1,bs,bs
,부산원아시아페스티벌,35.1889969320,129.0604518774,1,bs,bs
,라라라 페스티벌,35.2296540211,129.0893371356,1,bs,bs
,2023 ECO 챌린지 낙동강 자전거 페스티벌,35.1082872241,128.9474416939,1,bs,bs
,부산국제공연예술제,35.2296540211,129.0893371356,1,bs,bs
,부산수제맥주페스티벌,35.1687450332,129.1355209016,1,bs,bs
,카운트다운부산,35.1541380597,129.1206281532,1,bs,bs
,부산푸드필름페스타,35.1710029572,129.1270687971,1,bs,bs
,2023 부산국제마케팅광고제,35.1687450332,129.1355209016,1,bs,bs
,2023 아세안마켓,35.1751757315,129.1820750100,1,bs,bs
,부산세계시민축제,35.1710029572,129.1270687971,1,bs,bs
,부산 사회적경제한마당,35.0986454267,129.0327345363,1,bs,bs
,부산 희망 드림 빛축제,35.1654939246,129.0558806966,1,bs,bs
,2023 한-아세안 ICT 융합 포럼 & 메타버스 컨퍼런스,35.1687450332,129.1355209016,1,bs,bs
,글로벌 영도커피페스티벌,35.0772042891,129.0819836173,1,bs,bs
,허심청브로이 옥토버페스트,35.2199410969,129.0826296532,1,bs,bs
,부산수제맥주마스터스챌린지,35.0966317239,129.0306042206,1,bs,bs
,부산영어방송 핼러윈 퍼레이드 페스티벌,35.1538130576,129.1185477876,1,bs,bs
,가을독서문화축제,35.1032142603,129.0273126612,1,bs,bs
,기장붕장어축제,35.2986133582,129.2602814614,1,bs,bs
,부산웹툰페스티벌,35.1543090932,129.0573308763,1,bs,bs
,부산美아트페스티벌,35.1687450332,129.1355209016,1,bs,bs
,기장멸치축제,35.2229990560,129.2306166931,1,bs,bs
,용골댄스페스타,35.1009618294,129.0324761622,1,bs,bs
,2023 제50회 부산 어린이날 큰잔치,35.1710029572,129.1270687971,1,bs,bs
,2023 부산 고 페스티벌 (2023 Busan Go Festival),35.1368387054,129.0507263734,1,bs,bs
,좀비런 부산,35.1710029572,129.1270687971,1,bs,bs
,2023부산국제주류&와인박람회,35.1687450332,129.1355209016,1,bs,bs
,2023 부산권 산업안전 사생대회,35.1654495102,129.0572361352,1,bs,bs
,광안리어방축제,35.1532381253,129.1187283431,1,bs,bs
,해운대 모래축제,35.1590382483,129.1604273356,1,bs,bs
,제28회 부산국제영화제 (28th BUSAN International Film Festival),35.1707946470,129.1270576924,1,bs,bs
,철마한우불고기축제,35.2707838722,129.1501612620,1,bs,bs
,해운대 북극곰축제,35.1595354549,129.1626049105,1,bs,bs
,고복자연공원,36.6000120047,127.2274836912,2,sj,sj
,비암사(세종),36.6114045131,127.1920532311,2,sj,sj
,금이성,36.6325356297,127.2039432522,2,sj,sj
,숲뜰근린공원,36.4674500965,127.2649144954,2,sj,sj
,세종중앙공원,36.4913335625,127.2701689309,2,sj,sj
,고운뜰공원,36.5125583558,127.2390461458,2,sj,sj
,운주산성,36.6829832889,127.2420634455,2,sj,sj
,금남 백로 서식지,36.4431727991,127.2918266309,2,sj,sj
,"금강자연휴양림(금강수목원,산림박물관)",36.4354448235,127.2305767737,2,sj,sj
,금강수변공원,36.4828821403,127.2919894263,2,sj,sj
,영평사,36.4733404292,127.2276982285,2,sj,sj
,합호서원,36.5230337201,127.3272851683,2,sj,sj
,전의향교,36.6805106171,127.2007894471,2,sj,sj
,달메뜰근린공원,36.5199803648,127.2750593803,2,sj,sj
,바람재쉼터,36.4487227327,127.3239180495,2,sj,sj
,"세종리 은행나무 (구, 양화리 은행나무)",36.5042074720,127.2918860778,2,sj,sj
,뒤웅박고을,36.6759371809,127.2591732122,2,sj,sj
,세종호수공원 일원,36.4967663593,127.2750155705,2,sj,sj
,밀마루전망대,36.5054483572,127.2558420543,2,sj,sj
,부용체육공원,36.5018727431,127.3545916310,2,sj,sj
,금강대도,36.4444286252,127.3151939479,2,sj,sj
,연기향교,36.5433916769,127.2811665273,2,sj,sj
,아람달 체험마을,36.6659380766,127.2449386547,2,sj,sj
,조천연꽃공원,36.5853122145,127.3007052959,2,sj,sj
,국립세종수목원,36.4981108410,127.2858062335,2,sj,sj
,금강보행교,36.4836042238,127.2888008038,2,sj,sj
,세종청사 옥상정원,36.5053040615,127.2632941681,2,sj,sj
,별신(삼버들협동조합),36.5277589412,127.3701506403,2,sj,sj
,쌍류포도정원협동조합,36.6033808619,127.2161818371,2,sj,sj
,세종시 무궁화공원,36.5142201606,127.2889305148,2,sj,sj
,원수산습지생태원,36.5159308055,127.2737151666,2,sj,sj
,방축천 음악분수,36.4993463039,127.2572170971,2,sj,sj
,원수산MTB공원,36.5224049466,127.2671544673,2,sj,sj
,도토리숲키즈파크,36.4764763327,127.2363001496,2,sj,sj
,세종어린이천문대(세종미리내천문대),36.6028828354,127.1675362216,2,sj,sj
,뽀로로파크 세종점,36.4951440955,127.2621806547,2,sj,sj
,신광사(세종),36.6235770632,127.2892524995,2,sj,sj
,학림사(세종),36.5843585782,127.2462185470,2,sj,sj
,청안사(세종),36.6405039409,127.1916274750,2,sj,sj
,베어트리파크,36.6720645155,127.2092055880,2,sj,sj
,콩대박,36.4790473974,127.3442570683,3,sj,sj
,부강옥,36.5275007941,127.3789443029,3,sj,sj
,밥상차려주는집,36.4958273960,127.2647637381,3,sj,sj
,당미소,36.5193328205,127.2526947369,3,sj,sj
,수미순두부&왕코다리&화덕생선구이(수미순두부),36.5191047608,127.2353018592,3,sj,sj
,남포동갈비 세종점,36.4978127203,127.2331609631,3,sj,sj
,곤드레말,36.5031452524,127.2224562233,3,sj,sj
,대왕해물손칼국수,36.6128164553,127.2480870467,3,sj,sj
,도가네매운탕(도가네),36.6000536594,127.2270587286,3,sj,sj
,돈가스와메밀 광화문미진,36.4823816580,127.2615310597,3,sj,sj
,능두네 세종고운점(능두네),36.5009818603,127.2364966889,3,sj,sj
,뜨레,36.5215103181,127.2509920529,3,sj,sj
,클래식,36.4823633949,127.3280056570,3,sj,sj
,아리에떼,36.5095388651,127.2168843273,3,sj,sj
,카페리즌,36.4375586513,127.2408507961,3,sj,sj
,강대호송화고만두전문점,36.4923192941,127.2551119213,3,sj,sj
,카페플로랑스,36.4839820476,127.2938253431,3,sj,sj
,카페캐빈하우스,36.5242983064,127.3746308886,3,sj,sj
,캐슬가든,36.6249055048,127.1787790559,3,sj,sj
,카페재생,36.6081004553,127.2551309873,3,sj,sj
,카페용담,36.4226389039,127.2841223229,3,sj,sj
,에이트,36.4899779312,127.2571118052,3,sj,sj
,이도커피,36.4747997918,127.2952615757,3,sj,sj
,이도커피 사유,36.4805525392,127.3307110189,3,sj,sj
,카페 비일상,36.4730722736,127.2987390883,3,sj,sj
,바우정원,36.4895271557,127.2103604553,3,sj,sj
,백제기사식당,36.6986132172,127.1514683893,3,sj,sj
,보재기손두부,36.5161661819,127.2337992962,3,sj,sj
,세종장어대가,36.4824594380,127.2621809993,3,sj,sj
,시즌파이브 프리미엄 본점,36.5113891080,127.2425958593,3,sj,sj
,고복저택,36.6109580760,127.2334550786,3,sj,sj
,큰집뼈대있는짬뽕,36.4814706130,127.2593507248,3,sj,sj
,테이블레이,36.4940745344,127.2486763396,3,sj,sj
,토바우 안심한우마을,36.5006956771,127.2306083363,3,sj,sj
,풍류다방,36.4378138323,127.2213080963,3,sj,sj
,한아름보리밥,36.5193438635,127.2489061878,3,sj,sj
,헤이믈,36.5090531999,127.2389268072,3,sj,sj
,돈스,36.6074178821,127.2934720075,3,sj,sj
,번암반점,36.5834761843,127.2934115563,3,sj,sj
,빠스타스세군도,36.4865809772,127.2502680670,3,sj,sj
,쓰촨 세종점,36.5218380217,127.2489172301,3,sj,sj
,올진스시,36.5011794558,127.2588668989,3,sj,sj
,이리추어탕,36.5183914333,127.2623633394,3,sj,sj
,조치원짬뽕,36.6065235136,127.2919749444,3,sj,sj
,진주냉면 남가옥,36.4968551342,127.2691660933,3,sj,sj
,홀인원가든,36.6872565314,127.1707391880,3,sj,sj
,황가평양냉면,36.4993346265,127.2251727499,3,sj,sj
,금강장어마을,36.5368304757,127.2336404153,3,sj,sj
,원두막,36.6070975107,127.2392268876,3,sj,sj
,청향일식,36.5968970301,127.3026298063,3,sj,sj
,세종축제,36.4967663593,127.2750155705,1,sj,sj
,베어트리파크 철쭉제 '봄과 철쭉',36.6728227784,127.2101554814,1,sj,sj
,청소년 비즈쿨 페스티벌,36.4967663593,127.2750155705,1,sj,sj
,베어트리파크 단풍축제,36.6728227784,127.2101554814,1,sj,sj
,금강청소년버스킹페스티벌,36.4807128659,127.2875176644,1,sj,sj
,제23회 연기대첩제,36.5998481351,127.2275170257,1,sj,sj
,세종파크뮤직페스티벌,36.5984910341,127.2881255090,1,sj,sj
,조치원복숭아축제,36.5967773179,127.2868062299,1,sj,sj
,작천정계곡(작괘천),35.5503960202,129.1023882167,2,us,us
,천전리각석계곡(울산),35.6096544965,129.1695751274,2,us,us
,일산해수욕장(울산),35.4949278551,129.4302000587,2,us,us
,진하해수욕장,35.3827277372,129.3451995038,2,us,us
,석남사계곡,35.6174456483,129.0403862086,2,us,us
,대왕암공원,35.4904034587,129.4352775223,2,us,us
,석남사(울산),35.6211173075,129.0324006938,2,us,us
,울산대공원,35.5308045918,129.2940414740,2,us,us
,한방테마파크 초락당,35.7099187672,129.1996780011,2,us,us
,간절곶 등대,35.3589668021,129.3605738299,2,us,us
,어물동 마애여래좌상,35.5784047465,129.4386636265,2,us,us
,울주 대곡리 반구대 암각화,35.6037219778,129.1774107206,2,us,us
,배내골(울산),35.5354459859,129.0102355782,2,us,us
,강동몽돌해변,35.6317098997,129.4405841678,2,us,us
,주전몽돌해변,35.5656092760,129.4552486547,2,us,us
,간월산 자연휴양림,35.5671043874,129.0560529115,2,us,us
,발리온천,35.4059713746,129.2931117223,2,us,us
,학성공원,35.5545000030,129.3393424099,2,us,us
,정자.당사마을,35.5825185165,129.4568174821,2,us,us
,슬도,35.4782269725,129.4312671042,2,us,us
,울산 귀신고래 회유해면,35.5041121316,129.3876451745,2,us,us
,선바위(입암),35.5814283716,129.2364200802,2,us,us
,선암호수공원,35.5170400753,129.3260724005,2,us,us
,과개안(너븐개) 해안,35.4922811141,129.4399548400,2,us,us
,학산서원,35.5540797809,129.2955212458,2,us,us
,울산대공원 동물원,35.5308045918,129.2940414740,2,us,us
,울산 소리체험관,35.4809183669,129.4328446686,2,us,us
,오계절,35.6648939947,129.2374009740,2,us,us
,태화강동굴피아,35.5452836784,129.3024681091,2,us,us
,내원암 계곡,35.3991681983,129.2310145451,2,us,us
,울산대교 전망대,35.5017849664,129.4062491748,2,us,us
,장생포 모노레일,35.5029704748,129.3813402009,2,us,us
,주전어촌체험마을,35.5592600061,129.4561043157,2,us,us
,편백산림욕장,35.6503524496,129.3043955301,2,us,us
,슬도등대,35.4781713882,129.4294006019,2,us,us
,쇠평어린이공원,35.5521937229,129.4344036297,2,us,us
,박제상유적지,35.6545644690,129.2303268850,2,us,us
,자드락숲,35.6278245225,129.1615530960,2,us,us
,울산안전체험관,35.6176975821,129.4403401426,2,us,us
,애니언파크(울산 반려동물 문화센터),35.6347442892,129.3676487809,2,us,us
,정광사,35.5469748116,129.2842113214,2,us,us
,나사해변(나사리해수욕장),35.3568500029,129.3408533830,2,us,us
,송정공원,35.3702848630,129.3544907095,2,us,us
,송운사,35.5471600955,129.0928335863,2,us,us
,공룡발자국공원,35.5626623497,129.3061895174,2,us,us
,간절곶소망우체통,35.3588057199,129.3611487843,2,us,us
,구영공원,35.5710407589,129.2421420950,2,us,us
