마커번호,장소이름,위도,경도,장소종류,하위행정구역코드,
,마포왕갈비,37.5427202495,126.9420416835,3,su,su
,우정,37.5628414413,127.0149678028,3,su,su
,전라도별장순대,37.4832824721,126.9287556803,3,su,su
,초우마을,37.5894585299,127.0559299815,3,su,su
,전주회관,37.5626630295,126.9784933538,3,su,su
,도읍지,37.5930552828,127.0530968038,3,su,su
,수빈,37.5718583912,126.9343165645,3,su,su
,서울드럼페스티벌,37.5177178854,126.9580520415,1,su,su
,서울국제작가축제,37.5177178854,126.9580520415,1,su,su
,창덕궁 달빛기행,37.5777031595,126.9902446339,1,su,su
,뮤직드라마 '당신만이',37.5766424167,127.0039128630,1,su,su
,서울프린지페스티벌,37.5657117800,126.9285533753,1,su,su
,D.FESTA 거리공연축제,37.5805669329,127.0023878907,1,su,su
,2023 서울국제주류&와인박람회,37.5119175967,127.0592179950,1,su,su
,아시테지 국제여름축제,37.5832416489,127.0038654579,1,su,su
,궁중문화축전,37.5788222356,126.9769930325,1,su,su
,성북세계음식축제 누리마실,37.5902269515,127.0040485763,1,su,su
,서울장미축제,37.6152530634,127.0731165697,1,su,su
,2023 대한민국 국제요리&제과 경연대회,37.4673918780,127.0407514903,1,su,su
,모두하나대축제,37.5098105750,126.9638739574,1,su,su
,대한민국 청년의 날,37.5258106864,126.9187303961,1,su,su
,국제 스페셜 뮤직&아트페스티벌,37.4663514558,126.9483849253,1,su,su
,수라간 시식공감,37.5760836609,126.9767375783,1,su,su
,관악강감찬축제,37.4716399155,126.9587338341,1,su,su
,단오와 함께 즐기는 대한민국 국악제,37.5597775194,126.9932865315,1,su,su
,청년미술축제 ; 아트그라운드,37.5734674476,126.9850730036,1,su,su
,아이가 행복입니다,37.5126099637,127.1025668077,1,su,su
,2023 더현대 플로깅 with Green Friends,37.5685818430,126.9816428989,1,su,su
,서울세계도시문화축제,37.5722341099,126.9768376784,1,su,su
,한복문화주간,37.5886545092,126.9816145550,1,su,su
,밤의 석조전,37.5661486714,126.9749296905,1,su,su
,묘현례,37.5710345779,126.9951471543,1,su,su
,유기농데이,37.5693539082,126.9779154387,1,su,su
,2023 강남디자인위크,37.5112531257,127.0225157989,1,su,su
,K-컬처 뮤지엄,37.5759169480,126.9730879153,1,su,su
,한강페스티벌,37.5304044529,127.0655391172,1,su,su
,댄싱노원,37.6557537222,127.0627163625,1,su,su
,서울비보이페스티벌,37.5177178854,126.9580520415,1,su,su
,DDP 봄축제 : 디자인 놀이동산,37.5661076320,127.0095709797,1,su,su
,서울미디어테크축제 : 을지로판타지아 열섬,37.5669711818,126.9962693897,1,su,su
,한강 서래섬 유채꽃 축제,37.5080140291,126.9899660761,1,su,su
,하나증권 테니스 페스티벌 in Olympic park,37.5206092598,127.1150682209,1,su,su
,돈의문골목시장,37.5688787955,126.9685385292,1,su,su
,양재천천마켙,37.4773518344,127.0408150918,1,su,su
,사계축제 꽃 기억해 (봄),37.6895745075,127.0471890359,1,su,su
,돈의Moon나이트,37.5688787955,126.9685385292,1,su,su
,2023 김포공항 문화의 날 26데이,37.5652540347,126.8029148466,1,su,su
,서울K가족축제,37.5691317067,126.9776154729,1,su,su
,문정동 로데오거리 축제,37.4891519596,127.1239099771,1,su,su
,서초뮤직앤아트페스티벌,37.5062061855,127.0055841495,1,su,su
,송파문화재야행,37.5022111756,127.1028642979,1,su,su
,DDP 여름축제 : 동대문 바이브,37.5661076320,127.0095709797,1,su,su
,하이커페스타:일상이상,37.5685818430,126.9816428989,1,su,su
,영등포 여의도봄꽃축제,37.5320321034,126.9141334174,1,su,su
,연등회,37.5733035136,126.9815038890,1,su,su
,대한민국 전통연희축제,37.4784066973,127.0090512856,1,su,su
,국회동심한마당,37.5320321034,126.9141334174,1,su,su
,중외공원,35.1814981787,126.8842958259,2,gj,gj
,사직공원(광주),35.1413559608,126.9121749221,2,gj,gj
,약사암(광주),35.1223174593,126.9722478684,2,gj,gj
,증심사(광주),35.1287583574,126.9697618157,2,gj,gj
,광주 예술의 거리,35.1498078933,126.9186491379,2,gj,gj
,최승효가옥,35.1413171050,126.9138942152,2,gj,gj
,광주 3·1 만세운동 기념비,35.1367619930,126.9096947007,2,gj,gj
,효자 광주 정공엄지려,35.1408366225,126.9149969077,2,gj,gj
,관덕정의 각궁,35.1419253355,126.9118638245,2,gj,gj
